Department Name,Address Line 1,Address Zip Code,Clean Address Zip Code,Latitude,Longitude
103 RIVER ROAD CARDIOLOGY,103 River Road,07020-1016,7020,40.8237,-73.9782
2 MARINE VIEW RMTI LIVER DISEASE,2 MARINE VIEW PLZ,07030-5760,7030,40.7451,-74.0318
579 FRANKLIN RMTI LIVER DISEASE,579 FRANKLIN TURNPIKE,7450,7450,40.9823,-74.1127
579 FRANKLIN TRANS LIV,579 FRANKLIN TURNPIKE,7450,7450,40.9823,-74.1127
X_579 FRANKLIN LIVER DIS_DEACTIVATED,579 Franklin Turnpike,7450,7450,40.9823,-74.1127
X_360 ESSEX ORTHO TRAUMA_DEACTIVATED,360 ESSEX ST,7601,7601,40.8886,-74.0464
500 GRAND ORTHO JOINT,500 Grand Ave Englewood,7631,7631,40.8919,-73.9736
500 GRAND ORTHO SPINE,500 Grand Ave Englewood,7631,7631,40.8919,-73.9736
1 VALLEY HEALTH PLAZA UROLOGY,One Valley Health Plaza,07652-3628,7652,40.9452,-74.0714
140 E RIDGEWOOD AVE PEDS CARDIOLOGY,140 E Ridgewood Ave,07652-3917,7652,40.9452,-74.0714
1 VALLEY HEALTH PLAZA OTOLARYNGOLOGY,1 valley Health Plaza,7653,7653,40.9444,-74.0758
725 GRAND AVE SURG COLORECTAL,725 GRAND AVE,07657-1045,7657,40.8316,-74.015
718 TEANECK ROAD  CARDIAC SURGERY,718 Teaneck Road,7666,7666,40.8906,-74.0107
X_718 TEANECK ROAD SURG COLORECTAL_DEACTIVATED,718 Teaneck Road,7666,7666,40.8906,-74.0107
X_10 INDUSTRIAL WAY EAST RMTI LIVER DISEASE_DEACTIVATED,"10 INDUSTRIAL WAY EAST, SUITE 101",7724,7724,40.3004,-74.0751
117 STATE ROUTE 35 RMTI LIVER DISEASE,117 SR 35,07724-1885,7724,40.3004,-74.0751
1 DIAMOND HILL LIVER TRANSPLANT,1 DIAMOND HILL RD,07922-2104,7922,40.6755,-74.428
1 DIAMOND HILL RMTI LIVER DISEASE,1 DIAMOND HILL RD,07922-2104,7922,40.6755,-74.428
275 7TH AVE CTMS,275 7th Ave 12th floor,10001,10001,40.7506,-73.997
275 7TH AVE IAM,275 7th Ave 12th floor,10001,10001,40.7506,-73.997
275 7TH AVE PSYCH,275 7th Ave,10001,10001,40.7506,-73.997
45 RIVINGTON ST ACT,45 RIVINGTON ST,10002,10002,40.7157,-73.9865
45 RIVINGTON ST COMPREHENSIVE EVALUATION SERVICE,45 RIVINGTON ST,10002,10002,40.7157,-73.9865
45 RIVINGTON ST INTEGRATED OUTPATIENT SERVICE,45 RIVINGTON ST,10002,10002,40.7157,-73.9865
45 RIVINGTON ST PHP,45 Rivington Street,10002,10002,40.7157,-73.9865
45 RIVINGTON ST PRIMARY CARE,45 Rivington Street,10002,10002,40.7157,-73.9865
45 RIVINGTON ST PSYCHIATRY FPA,45 Rivington Street,10002,10002,40.7157,-73.9865
104 DELANCEY ST ALLERGY,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST DERMATOLOGY,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST ENT,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST GASTROENTEROLOGY,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST GYN,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST NEUROLOGY,"104 Delancey St, New York, NY 10002",10002,10002,40.7157,-73.9865
104 DELANCEY ST ORTHOPEDICS,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST PODIATRY,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST PRIMARY CARE,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST ALLERGY_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST DERMATOLOGY_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST ENT_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST GASTROENTEROLOGY_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST GYN_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST NEUROLOGY_DEACTIVATED,"104 Delancey St, New York, NY 10002",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST ORTHOPEDICS_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST PODIATRY_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
X_104 DELANCEY ST PRIMARY CARE_DEACTIVATED,"104 Delancey St,",10002,10002,40.7157,-73.9865
104 DELANCEY ST ENDOCRINOLOGY,104 DELANCEY ST,10002-3202,10002,40.7157,-73.9865
104 DELANCEY ST OPHTHALMOLOGY,104 DELANCEY ST,10002-3202,10002,40.7157,-73.9865
108 DELANCEY ST DERMATOLOGY,108 DELANCEY ST,10002-3202,10002,40.7157,-73.9865
10 NATHAN PERL PL AIMS,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
10 NATHAN PERL PL AIMS ADMISSIONS,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
10 NATHAN PERL PL POSA,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
10 UNION SQ E CARDIO,"10 Union Square East,",10003,10003,40.7317,-73.9891
10 UNION SQ E DERM CLINIC,10 Union Square East 3rd Floor Suite 3C,10003,10003,40.7317,-73.9891
10 UNION SQ E DERMATOLOGY,10 Union Sq E 4th Floor Suite 4J,10003,10003,40.7317,-73.9891
10 UNION SQ E ENDOCRINOLOGY,10 Union Sq East,10003,10003,40.7317,-73.9891
10 UNION SQ E ENT,10 UNION SQ E,10003,10003,40.7317,-73.9891
10 UNION SQ E ENT OMS,10 UNION SQ E,10003,10003,40.7317,-73.9891
10 UNION SQ E HEM ONC,"10 Union Square E,",10003,10003,40.7317,-73.9891
10 UNION SQ E HEM ONC INFUSION,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E INFECTIOUS DISEASE,10 UNION SQ E,10003,10003,40.7317,-73.9891
10 UNION SQ E MFM CLINIC,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E OB/GYN,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E OB/GYN CLINIC,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E OCCUPATION PHYS,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E ORTHO GENERAL,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E ORTHO HAND SURGERY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E ORTHO JOINT,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E ORTHO SPINE,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E ORTHO SPORTS MED,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDIATRIC SPECIALTIES,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDS ALLERGY,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDS CARDIO,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDS ENDO,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDS GEN,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDS GI,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PEDS PULM,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E PHYSIATRY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E PHYSICAL THERAPY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E PODIATRY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E PODIATRY CLINIC,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E PST,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E RESP,"10 Union Square East,",10003,10003,40.7317,-73.9891
10 UNION SQ E SOCIAL WORK,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E  SPEECH THERAPY,10 UNION SQ E,10003,10003,40.7317,-73.9891
10 UNION SQ E SURG BREAST,"10 Union Square E,",10003,10003,40.7317,-73.9891
10 UNION SQ E SURG COL,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E SURG GEN,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E SURG ONC,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E SURG PLASTIC,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E SURG VASC,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E SURG VASCULAR LAB,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E THERAPEUTIC INFUSION,10 Union Square E,10003,10003,40.7317,-73.9891
10 UNION SQ E URGENT CARE,10 Union Square,10003,10003,40.7317,-73.9891
10 UNION SQ E UROLOGY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ E VEIN CLINIC,"10 Union Square East,",10003,10003,40.7317,-73.9891
10 UNION SQ ECHO,"10 Union Square East, Suite 2B",10003,10003,40.7317,-73.9891
10 UNION SQ ENDO THYROID INS,"10 Union Square East,",10003,10003,40.7317,-73.9891
10 UNION SQ ENDO WEIGHT MGT,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ GASTROENTEROLOGY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ PFT,"10 Union Square East,",10003,10003,40.7317,-73.9891
10 UNION SQ RHEUMATOLOGY,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ SIGN LANGUAGE,10 Union Square East,10003,10003,40.7317,-73.9891
10 UNION SQ VASC PROC,"10 Union Square East, Suite 2B",10003,10003,40.7317,-73.9891
230 2ND AVE SURGERY,230 Second Ave,10003,10003,40.7317,-73.9891
281 1ST AVE GENERAL MED,i81 1ST AVE - 11TH FLOOR,10003,10003,40.7317,-73.9891
317 E 17TH WELLNESS PRACTICE,317 EAST 17TH STREET,10003,10003,40.7317,-73.9891
340 E 17TH ST FAMILY PLANNING,340 E 17th Street,10003,10003,40.7317,-73.9891
MSBI CATH LAB,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI ECHO,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI ECT,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI EP LAB,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI FAMILY PLANNING OR,340 E 17th Street,10003,10003,40.7317,-73.9891
MSBI INTERVENTIONAL RADIOLOGY,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI INTERVENTIONAL RADIOLOGY 2 FL,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI NUCLEAR CARDIOLOGY,281 1st Ave,10003,10003,40.7317,-73.9891
MSBI PACU,281 1st Avenue,10003,10003,40.7317,-73.9891
X_10 NATHAN PERL PL ACT_DEACTIVATED,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
X_10 NATHAN PERL PL AIMS ADMISSIONS_DEACTIVATED,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
X_10 NATHAN PERL PL AIMS_DEACTIVATED,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
X_10 NATHAN PERL PL POSA_DEACTIVATED,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ALLERGY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E CARDIO_DEACTIVATED,"10 Union Square East, Suite 2B",10003,10003,40.7317,-73.9891
X_10 UNION SQ E CYSTIC FIBROSIS_DEACTIVATED,10 Union Sq E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E DERM CLINIC_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E DERMATOLOGY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ENDOCRINOLOGY_DEACTIVATED,10 Union Sq E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ENT OMS_DEACTIVATED,10 UNION SQ E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ENT_DEACTIVATED,10 UNION SQ E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E HEM ONC INFUSION_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E HEM ONC_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E INFECTIOUS DISEASE_DEACTIVATED,10 UNION SQ E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E MFM CLINIC_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
