Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MS NOW,Internal Medicine,HSO EPISODIC TELEHEALTH,0,,,
MSBI,Behavioral Health,10 NATHAN PERL PL ACT,63,,,
MSBI,Psychiatry,10 NATHAN PERL PL AIMS,2577,,,
MSBI,Psychiatry,10 NATHAN PERL PL AIMS ADMISSIONS,439,,,
MSBI,Behavioral Health,10 NATHAN PERL PL POSA,8386,,,
MSBI,Cardiology,10 UNION SQ NUCLEAR CARDIOLOGY,54,MSUS,,
MSBI,Cardiology,132 GREENPOINT AVE CARDIO REMOTE,1959,,,
MSBI,Cardiology,132 GREENPOINT AVE CARDIOLOGY,3067,,,
MSBI,Cardiology,147 E 26TH ST CARDIOLOGY,0,,,
MSBI,General Surgery,1819 13ST GEN SURG,0,OTHER,,
MSBI,OB/Gyn,20 E 46TH ST OB/GYN,2394,MSW,,
MSBI,Cardiology,270 1/2 9TH ST CARDIOLOGY,1076,,,
MSBI,Infectious Diseases/HIV,275 8TH AVE IAM,1969,,,
MSBI,Psychiatry,281 1ST AVE PSYCH MCT,0,,,
MSBI,Cardiology,281 FIRST AVE CARDIOLOGY,4374,,,
MSBI,ENT-Otolaryngology,3131 KINGS HIGHWAY ENT,15,MSB,,
MSBI,Neurosurgery,3131 KINGS HIGHWAY NEURO ENDOVASC,8,MSB,,
MSBI,Neurology,3131 KINGS HIGHWAY NEUROLOGY,124,MSB,,
MSBI,Surgery,3131 KINGS HIGHWAY SURGERY,28,MSB,,
MSBI,Urology,3131 KINGS HIGHWAY UROLOGY,3,MSB,,
MSBI,Thoracic Surgery,3131 KINGS THOR SURG,31,MSB,,
MSBI,Psychiatry Addiction,317 E 17TH ST WELLNESS PRACTICE,0,,,
MSBI,Psychiatry Addiction,317 E 17TH WELLNESS PRACTICE,28,,,
MSBI,Cardiology,3201 KINGS HWY CARDIOLOGY,974,MSB,,
MSBI,POMA,3201 KINGS HWY PST,0,MSB,,
MSBI,Vascular Surgery,3201 KINGS HWY VASCULAR LAB,691,MSB,,
MSBI,Orthopedics,321 E 34TH ORTHO HAND SURGERY,317,,,DEACTIVATE?
MSBI,Speech Therapy,325 W 15TH ST SPEECH THERAPY,103,,,DEACTIVATE?
MSBI,OB/Gyn,340 E 17TH ST FAMILY PLANNING,442,,,F/U
MSBI,Gastroenterology,380 2ND AVE ENDOSCOPY,1202,,,
MSBI,Cardiology,67 IRVING PLACE CARDIOLOGY,1902,,,
MSBI,Cardiology,MSBI CATH LAB,745,,,
MSBI,Cardiology,MSBI ECHO,1123,,,
MSBI,Psychiatry,MSBI ECT,319,,,
MSBI,Cardiology-Electrophysiology,MSBI EP LAB,106,,,
MSBI,OB/Gyn,MSBI FAMILY PLANNING OR,199,,,
MSBI,Vascular and Interventional Radiology,MSBI INTERVENTIONAL RADIOLOGY,74,,,
MSBI,Vascular and Interventional Radiology,MSBI INTERVENTIONAL RADIOLOGY 2 FL,50,,,
MSBI,Cardiology,MSBI NUCLEAR CARDIOLOGY,225,,,
MSBI,Internal Medicine,NATHAN PEARLMAN DRIVE EVALUATION CENTER,1139,,,
MSDD,Allergy,104 DELANCEY ST ALLERGY,202,,,
MSDD,Dermatology,104 DELANCEY ST DERMATOLOGY,1103,,,
MSDD,ENT-Otolaryngology,104 DELANCEY ST ENT,865,,,
MSDD,Gastroenterology,104 DELANCEY ST GASTROENTEROLOGY,552,,,
MSDD,Gynecology,104 DELANCEY ST GYN,580,,,
MSDD,Neurology,104 DELANCEY ST NEUROLOGY,447,,,
MSDD,Orthopedics,104 DELANCEY ST ORTHOPEDICS,516,,,
MSDD,Podiatry,104 DELANCEY ST PODIATRY,435,,,
MSDD,Internal Medicine,104 DELANCEY ST PRIMARY CARE,4431,,,
MSDD,Allergy,135 N 7TH ST ALLERGY,97,,,
MSDD,Dermatology,135 N 7TH ST DERMATOLOGY,390,,,
MSDD,Family Medicine,135 N 7TH ST FAMILY MEDICINE,3002,,,
MSDD,Gastroenterology,135 N 7TH ST GASTROENTEROLOGY,342,,,
MSDD,Orthopedics,135 N 7TH ST ORTHOPEDICS,740,,,
MSDD,Occupational Health,138 E 26TH ST OCCUPATIONAL HEALTH,128,,,
MSDD,Internal Medicine,141 SOUTH CENTRAL AVE INTERNAL MEDICINE JMP,2374,,,DEACTIVATE?
MSDD,Allergy,200 W 57TH ST ALLERGY,1085,,,
MSDD,Dermatology,200 W 57TH ST DERMATOLOGY,0,,,
MSDD,Endocrinology,200 W 57TH ST ENDOCRINOLOGY,1009,,,
MSDD,Gastroenterology,200 W 57TH ST GASTROENTEROLOGY,1032,,,
MSDD,Internal Medicine,200 W 57TH ST INTERNAL MEDICINE,4335,,,
MSDD,OB/Gyn,200 W 57TH ST OBGYN 16TH FL,1218,,,
MSDD,Ophthalmology,200 W 57TH ST OPHTHALMOLOGY,960,,,
MSDD,Podiatry,200 W 57TH ST PODIATRY,1150,,,
MSDD,Urology,200 W 57TH ST UROLOGY,0,,,
MSDD,Allergy,226 W 14TH ST ALLERGY,553,,,
MSDD,Cardiology,226 W 14TH ST CARDIOLOGY,459,,,
MSDD,Endocrinology,226 W 14TH ST ENDOCRINOLOGY,779,,,
MSDD,Internal Medicine,226 W 14TH ST INTERNAL MEDICINE,4405,,,
