Month,MSBI,MSH-MSDFP,MSUS,MSW
Jan-19,607,2478,1278,819
Feb-19,526,2610,1111,830
Mar-19,596,3020,1061,1208
Apr-19,708,3154,1362,1173
May-19,674,3284,1495,988
Jun-19,640,2845,1106,1129
Jul-19,750,2987,1175,1075
Aug-19,547,2829,1289,967
Sep-19,561,2629,1140,856
Oct-19,772,3323,1191,1149
Nov-19,693,2872,1186,1029
Dec-19,671,2901,1087,1177
Jan-20,581,2913,1135,1035
Feb-20,502,2819,1138,816
Mar-20,474,2406,1055,830
Apr-20,537,1293,1143,579
May-20,444,1863,1053,506
Jun-20,584,2825,1111,1027
Jul-20,624,2571,1041,1087
Aug-20,503,2635,896,958
Sep-20,618,2508,769,1004
Oct-20,592,2700,1014,1076
Nov-20,598,2581,900,916
Dec-20,648,2630,917,887
Jan-21,511,2085,906,888
Feb-21,340,2120,954,873
Mar-21,519,2901,1239,1113
Apr-21,536,2637,1108,1059
May-21,505,2201,1007,871
Jun-21,682,2815,1155,767
Jul-21,814,2507,1027,701
Aug-21,684,2585,1323,618
Sep-21,630,2304,1226,718
Oct-21,488,2411,1109,861
Nov-21,390,2717,978,774
Dec-21,587,2784,1183,705
Jan-22,572,2673,1067,728
Feb-22,451,2368,1166,652
Mar-22,583,2760,1316,847
Apr-22,603,2463,944,848
May-22,613,2650,949,907
Jun-22,595,2842,1055,947
Jul-22,598,2599,937,937
Aug-22,635,2500,1162,1038
Sep-22,589,2428,1025,860
Oct-22,531,2351,1019,803
Nov-22,472,2734,825,876
Dec-22,484,2681,1040,788
Jan-23,490,2669,830,613
Feb-23,463,2796,831,667
Mar-23,642,3153,1114,804
Apr-23,795,2228,823,825
May-23,892,2562,969,997
Jun-23,773,2670,810,915
Jul-23,685,2200,818,829
Aug-23,939,2452,1076,945
Sep-23,721,2329,782,924
Oct-23,789,2396,904,1060
Nov-23,757,2373,759,1058
Dec-23,562,2188,672,763
Jan-24,714,2625,755,817
Feb-24,631,2639,898,872
Mar-24,578,2752,844,939
Apr-24,683,2803,805,945
May-24,669,2607,1026,982
Jun-24,716,2324,810,746
Jul-24,764,2728,1087,908
