Month,BC,BH,BI,BR,DU,EE,HU,JH,KD,KH,MV,NY,PH,QN,RA,RH,RM,SL,UC
Jan-19,1605,1119,7033,1111,1805,213,2410,428,612,5594,119,1286,6116,7084,8698,7350,20781,10070,786
Feb-19,1516,994,6383,952,1659,205,2231,303,551,4997,141,1157,5727,6489,8195,7120,19784,9588,693
Mar-19,1586,1122,7279,1183,1806,219,2742,291,547,5487,193,1107,6194,7807,9015,8351,21833,10631,787
Apr-19,1724,1300,7032,1216,1984,279,2682,362,506,5257,228,1397,6622,7431,9494,7998,21711,10169,706
May-19,1865,1306,7049,1178,1946,274,2832,466,591,5522,259,1326,6483,7709,9457,8597,22094,10487,787
Jun-19,1708,1314,7007,1223,1755,325,2549,459,540,5162,265,1176,6091,7421,9004,8122,20835,9541,713
Jul-19,1725,1350,6942,1355,1915,315,2823,511,555,5110,209,1141,6411,7645,9573,8218,22026,9968,582
Aug-19,1598,1163,6725,1286,1924,287,2701,421,557,4847,251,1381,6415,7901,9601,8116,22221,10289,571
Sep-19,1568,1271,6664,1353,1762,249,2580,413,556,4714,302,1305,6086,7718,9186,8089,20922,10663,638
Oct-19,1898,1495,6749,1601,2155,278,3014,459,584,5240,152,1387,6797,8337,10511,8921,23465,11309,597
Nov-19,1765,1318,6799,1289,2011,273,2614,359,586,5027,0,1418,5778,7757,9249,8206,21569,10269,639
Dec-19,1883,1290,6912,1140,1882,252,2601,268,629,5835,0,1350,5331,7988,8836,8779,22035,10852,602
Jan-20,1909,1396,7273,1226,1866,260,2776,362,654,5863,0,1570,5917,8643,9632,9498,23307,10845,740
Feb-20,1613,1285,6571,1236,1756,179,2498,346,649,5352,13,1355,6392,7541,9061,8596,20626,10466,810
Mar-20,1193,599,5511,953,1208,3,1660,207,487,5371,70,724,4034,6867,6046,6819,17670,8402,581
Apr-20,389,239,4557,240,212,1,564,7,173,4051,0,166,887,4292,1675,3795,12733,5506,380
May-20,1010,606,4234,516,780,10,817,75,291,3566,0,439,2246,4550,3357,4908,15361,6695,336
Jun-20,1516,1016,4642,955,1777,27,1762,262,696,4291,0,944,4410,6282,6282,6396,18822,8865,348
Jul-20,1500,1159,5608,857,2020,45,2316,258,702,4653,0,1181,5298,6696,7236,7228,19402,10080,370
